"month","volume","group","seasonal"
60,1364440968,"Younger than 30","Unadjusted"
61,939241488,"Younger than 30","Unadjusted"
62,1184683536,"Younger than 30","Unadjusted"
63,1152467328,"Younger than 30","Unadjusted"
64,1311499896,"Younger than 30","Unadjusted"
65,1139214280,"Younger than 30","Unadjusted"
66,1196122272,"Younger than 30","Unadjusted"
67,1266969360,"Younger than 30","Unadjusted"
68,1170543312,"Younger than 30","Unadjusted"
69,1524128760,"Younger than 30","Unadjusted"
70,1483847448,"Younger than 30","Unadjusted"
71,1685309688,"Younger than 30","Unadjusted"
72,998858832,"Younger than 30","Unadjusted"
73,991681296,"Younger than 30","Unadjusted"
74,1162330656,"Younger than 30","Unadjusted"
75,1245761760,"Younger than 30","Unadjusted"
76,1318517760,"Younger than 30","Unadjusted"
77,1222568616,"Younger than 30","Unadjusted"
78,1284984192,"Younger than 30","Unadjusted"
79,1320402624,"Younger than 30","Unadjusted"
80,1302443736,"Younger than 30","Unadjusted"
81,1294446480,"Younger than 30","Unadjusted"
82,1656921720,"Younger than 30","Unadjusted"
83,1756004328,"Younger than 30","Unadjusted"
84,962341536,"Younger than 30","Unadjusted"
85,1020205848,"Younger than 30","Unadjusted"
86,1195411848,"Younger than 30","Unadjusted"
87,1148406048,"Younger than 30","Unadjusted"
88,1353503784,"Younger than 30","Unadjusted"
89,1756098168,"Younger than 30","Unadjusted"
90,1271434632,"Younger than 30","Unadjusted"
91,1303062216,"Younger than 30","Unadjusted"
92,1224635712,"Younger than 30","Unadjusted"
93,1236910680,"Younger than 30","Unadjusted"
94,1530618912,"Younger than 30","Unadjusted"
95,1619462736,"Younger than 30","Unadjusted"
96,839657496,"Younger than 30","Unadjusted"
97,914374920,"Younger than 30","Unadjusted"
98,1012032288,"Younger than 30","Unadjusted"
99,970838160,"Younger than 30","Unadjusted"
100,1167963600,"Younger than 30","Unadjusted"
101,1038115416,"Younger than 30","Unadjusted"
102,1007325936,"Younger than 30","Unadjusted"
103,1164240768,"Younger than 30","Unadjusted"
