"month","volume","group","seasonal"
60,17754498552,"Younger than 30","Unadjusted"
61,20383435776,"Younger than 30","Unadjusted"
62,28028489688,"Younger than 30","Unadjusted"
63,27267862320,"Younger than 30","Unadjusted"
64,29568869748,"Younger than 30","Unadjusted"
65,33724558152,"Younger than 30","Unadjusted"
66,32866965012,"Younger than 30","Unadjusted"
67,36835899864,"Younger than 30","Unadjusted"
68,32619749760,"Younger than 30","Unadjusted"
69,29998963116,"Younger than 30","Unadjusted"
70,29702652576,"Younger than 30","Unadjusted"
71,29078153592,"Younger than 30","Unadjusted"
72,19004084760,"Younger than 30","Unadjusted"
73,19836591960,"Younger than 30","Unadjusted"
74,26964427692,"Younger than 30","Unadjusted"
75,28201795248,"Younger than 30","Unadjusted"
76,31490075064,"Younger than 30","Unadjusted"
77,32334897840,"Younger than 30","Unadjusted"
78,28242591504,"Younger than 30","Unadjusted"
79,32363095512,"Younger than 30","Unadjusted"
80,26961131544,"Younger than 30","Unadjusted"
81,26860867020,"Younger than 30","Unadjusted"
82,27324253200,"Younger than 30","Unadjusted"
83,28486299432,"Younger than 30","Unadjusted"
84,19248032520,"Younger than 30","Unadjusted"
85,19198958088,"Younger than 30","Unadjusted"
86,23873401056,"Younger than 30","Unadjusted"
87,22920261888,"Younger than 30","Unadjusted"
88,24957373488,"Younger than 30","Unadjusted"
89,23155817064,"Younger than 30","Unadjusted"
90,21215296296,"Younger than 30","Unadjusted"
91,20496025944,"Younger than 30","Unadjusted"
92,16073987496,"Younger than 30","Unadjusted"
93,17147628240,"Younger than 30","Unadjusted"
94,16090833792,"Younger than 30","Unadjusted"
95,15516239832,"Younger than 30","Unadjusted"
96,11568227112,"Younger than 30","Unadjusted"
97,15751328328,"Younger than 30","Unadjusted"
98,18444923784,"Younger than 30","Unadjusted"
99,16854009480,"Younger than 30","Unadjusted"
100,17031701208,"Younger than 30","Unadjusted"
101,16878120696,"Younger than 30","Unadjusted"
102,14864551080,"Younger than 30","Unadjusted"
103,14536981272,"Younger than 30","Unadjusted"
104,14366651544,"Younger than 30","Unadjusted"
105,14102868696,"Younger than 30","Unadjusted"
106,9511383216,"Younger than 30","Unadjusted"
107,13885078272,"Younger than 30","Unadjusted"
108,11513705712,"Younger than 30","Unadjusted"
109,12593518752,"Younger than 30","Unadjusted"
110,15185155920,"Younger than 30","Unadjusted"
111,16452158352,"Younger than 30","Unadjusted"
112,17860387560,"Younger than 30","Unadjusted"
113,18723697416,"Younger than 30","Unadjusted"
