"month","num","group"
60,7449143496,"Unadjusted"
61,6330406680,"Unadjusted"
62,6825925392,"Unadjusted"
63,6440963640,"Unadjusted"
64,7859544784,"Unadjusted"
65,12166102992,"Unadjusted"
66,14712799848,"Unadjusted"
67,31354665828,"Unadjusted"
68,23450482176,"Unadjusted"
69,15126007708,"Unadjusted"
70,11850822540,"Unadjusted"
71,9132819876,"Unadjusted"
72,9402187248,"Unadjusted"
73,8017160872,"Unadjusted"
74,8473513744,"Unadjusted"
75,8062519364,"Unadjusted"
76,12605281536,"Unadjusted"
77,16681941012,"Unadjusted"
78,17716052388,"Unadjusted"
79,32830937760,"Unadjusted"
80,22781341884,"Unadjusted"
81,13795786272,"Unadjusted"
82,10694034048,"Unadjusted"
83,7621736400,"Unadjusted"
84,9974908452,"Unadjusted"
85,7053811032,"Unadjusted"
86,7332761760,"Unadjusted"
87,6851396952,"Unadjusted"
88,7500035472,"Unadjusted"
89,8934074136,"Unadjusted"
90,10316401656,"Unadjusted"
91,30701044968,"Unadjusted"
92,21800323308,"Unadjusted"
93,10767935160,"Unadjusted"
94,7837426224,"Unadjusted"
95,5627732784,"Unadjusted"
96,8772616920,"Unadjusted"
97,6786991632,"Unadjusted"
98,5232217176,"Unadjusted"
99,5046196320,"Unadjusted"
100,5827834104,"Unadjusted"
101,5569370064,"Unadjusted"
102,9237322680,"Unadjusted"
103,31585770144,"Unadjusted"
104,25219088192,"Unadjusted"
105,15488480640,"Unadjusted"
106,8279725512,"Unadjusted"
107,7900552836,"Unadjusted"
108,11737666656,"Unadjusted"
109,8466262320,"Unadjusted"
110,7494466848,"Unadjusted"
111,7250579088,"Unadjusted"
112,8538005088,"Unadjusted"
113,7652546532,"Unadjusted"
114,10658180544,"Unadjusted"
115,34778640120,"Unadjusted"
116,26537935544,"Unadjusted"
117,15714804248,"Unadjusted"
118,9725454312,"Unadjusted"
119,8054524440,"Unadjusted"
120,11460634884,"Unadjusted"
121,8770437600,"Unadjusted"
122,8269086792,"Unadjusted"
123,7496428368,"Unadjusted"
124,7912906368,"Unadjusted"
125,8739740524,"Unadjusted"
126,8813676080,"Unadjusted"
127,32654255832,"Unadjusted"
128,25542966396,"Unadjusted"
129,12338322916,"Unadjusted"
130,7519699488,"Unadjusted"
131,6114709616,"Unadjusted"
132,9342320232,"Unadjusted"
133,7178279376,"Unadjusted"
134,6586875480,"Unadjusted"
135,8631655344,"Unadjusted"
136,9663502128,"Unadjusted"
137,9114792720,"Unadjusted"
138,10703781456,"Unadjusted"
139,36972333956,"Unadjusted"
140,24115203612,"Unadjusted"
141,10422931512,"Unadjusted"
142,7831572480,"Unadjusted"
143,6299984052,"Unadjusted"
144,9105506940,"Unadjusted"
145,6674946692,"Unadjusted"
146,6411487272,"Unadjusted"
147,6171770664,"Unadjusted"
148,9315703332,"Unadjusted"
149,10268281536,"Unadjusted"
