"month","volume","group","seasonal"
60,3371463840,"Younger than 30","Unadjusted"
61,3347847720,"Younger than 30","Unadjusted"
62,3973752720,"Younger than 30","Unadjusted"
63,3821493504,"Younger than 30","Unadjusted"
64,4015191168,"Younger than 30","Unadjusted"
65,4262074464,"Younger than 30","Unadjusted"
66,4274069280,"Younger than 30","Unadjusted"
67,5308043808,"Younger than 30","Unadjusted"
68,4585924872,"Younger than 30","Unadjusted"
69,4351145248,"Younger than 30","Unadjusted"
70,4317462768,"Younger than 30","Unadjusted"
71,3894098880,"Younger than 30","Unadjusted"
72,3716702960,"Younger than 30","Unadjusted"
73,3538333752,"Younger than 30","Unadjusted"
74,4054673880,"Younger than 30","Unadjusted"
75,3912303744,"Younger than 30","Unadjusted"
76,4244224068,"Younger than 30","Unadjusted"
77,4239764220,"Younger than 30","Unadjusted"
78,4650973344,"Younger than 30","Unadjusted"
79,5147474088,"Younger than 30","Unadjusted"
80,4686450000,"Younger than 30","Unadjusted"
81,4670585816,"Younger than 30","Unadjusted"
82,4723835240,"Younger than 30","Unadjusted"
83,4733559592,"Younger than 30","Unadjusted"
84,4009881756,"Younger than 30","Unadjusted"
85,3860360656,"Younger than 30","Unadjusted"
86,4399550584,"Younger than 30","Unadjusted"
87,4571049264,"Younger than 30","Unadjusted"
88,4576506952,"Younger than 30","Unadjusted"
89,4589542128,"Younger than 30","Unadjusted"
90,4883402640,"Younger than 30","Unadjusted"
91,5058840672,"Younger than 30","Unadjusted"
92,4491916656,"Younger than 30","Unadjusted"
93,4628439480,"Younger than 30","Unadjusted"
94,4489541184,"Younger than 30","Unadjusted"
95,4177894992,"Younger than 30","Unadjusted"
96,3775858056,"Younger than 30","Unadjusted"
97,3343491072,"Younger than 30","Unadjusted"
98,3621762120,"Younger than 30","Unadjusted"
99,3597388224,"Younger than 30","Unadjusted"
100,3615400584,"Younger than 30","Unadjusted"
101,3737733216,"Younger than 30","Unadjusted"
102,3829272096,"Younger than 30","Unadjusted"
103,3481732440,"Younger than 30","Unadjusted"
104,3182643696,"Younger than 30","Unadjusted"
105,2856285984,"Younger than 30","Unadjusted"
106,2481411120,"Younger than 30","Unadjusted"
107,2116892280,"Younger than 30","Unadjusted"
108,1743403536,"Younger than 30","Unadjusted"
109,1485545232,"Younger than 30","Unadjusted"
110,1647599760,"Younger than 30","Unadjusted"
111,1676057424,"Younger than 30","Unadjusted"
112,1647059952,"Younger than 30","Unadjusted"
113,1623198696,"Younger than 30","Unadjusted"
114,1640324964,"Younger than 30","Unadjusted"
115,1672306200,"Younger than 30","Unadjusted"
116,1481433576,"Younger than 30","Unadjusted"
117,1506320256,"Younger than 30","Unadjusted"
118,1633246272,"Younger than 30","Unadjusted"
119,1496875032,"Younger than 30","Unadjusted"
120,1317396072,"Younger than 30","Unadjusted"
121,1122497664,"Younger than 30","Unadjusted"
122,1363012608,"Younger than 30","Unadjusted"
123,1504370712,"Younger than 30","Unadjusted"
124,1553192856,"Younger than 30","Unadjusted"
125,1616940096,"Younger than 30","Unadjusted"
126,1748037096,"Younger than 30","Unadjusted"
127,2079962184,"Younger than 30","Unadjusted"
128,1852845792,"Younger than 30","Unadjusted"
129,1916824920,"Younger than 30","Unadjusted"
130,2029793544,"Younger than 30","Unadjusted"
131,1959044160,"Younger than 30","Unadjusted"
132,1615833408,"Younger than 30","Unadjusted"
133,1531682856,"Younger than 30","Unadjusted"
134,1945266432,"Younger than 30","Unadjusted"
135,1801472448,"Younger than 30","Unadjusted"
136,2029453320,"Younger than 30","Unadjusted"
137,2039679936,"Younger than 30","Unadjusted"
138,2137698240,"Younger than 30","Unadjusted"
139,2360388240,"Younger than 30","Unadjusted"
140,2153491344,"Younger than 30","Unadjusted"
141,2236769424,"Younger than 30","Unadjusted"
142,2288648736,"Younger than 30","Unadjusted"
143,2096805480,"Younger than 30","Unadjusted"
144,1772681400,"Younger than 30","Unadjusted"
145,1766936088,"Younger than 30","Unadjusted"
146,1895743896,"Younger than 30","Unadjusted"
147,1964140536,"Younger than 30","Unadjusted"
148,2299761648,"Younger than 30","Unadjusted"
149,2122150968,"Younger than 30","Unadjusted"
150,2229429072,"Younger than 30","Unadjusted"
151,2471800080,"Younger than 30","Unadjusted"
152,2124715008,"Younger than 30","Unadjusted"
153,2263428768,"Younger than 30","Unadjusted"
154,2360237232,"Younger than 30","Unadjusted"
155,2237079600,"Younger than 30","Unadjusted"
156,1967086992,"Younger than 30","Unadjusted"
157,1759570920,"Younger than 30","Unadjusted"
158,2128676112,"Younger than 30","Unadjusted"
159,2174193768,"Younger than 30","Unadjusted"
160,2273503776,"Younger than 30","Unadjusted"
161,2485880448,"Younger than 30","Unadjusted"
162,2619308592,"Younger than 30","Unadjusted"
163,2687921112,"Younger than 30","Unadjusted"
164,2432577648,"Younger than 30","Unadjusted"
165,2715774240,"Younger than 30","Unadjusted"
166,2988865608,"Younger than 30","Unadjusted"
167,2914396608,"Younger than 30","Unadjusted"
168,2611914864,"Younger than 30","Unadjusted"
169,2335948536,"Younger than 30","Unadjusted"
170,2585307624,"Younger than 30","Unadjusted"
171,2808540072,"Younger than 30","Unadjusted"
172,2969525136,"Younger than 30","Unadjusted"
173,3016200408,"Younger than 30","Unadjusted"
174,3193496976,"Younger than 30","Unadjusted"
175,3264308136,"Younger than 30","Unadjusted"
176,3007669584,"Younger than 30","Unadjusted"
177,2993164680,"Younger than 30","Unadjusted"
178,3185761440,"Younger than 30","Unadjusted"
179,3186452112,"Younger than 30","Unadjusted"
180,2838335160,"Younger than 30","Unadjusted"
181,2487570096,"Younger than 30","Unadjusted"
182,3016804344,"Younger than 30","Unadjusted"
183,3099225024,"Younger than 30","Unadjusted"
184,3248914208,"Younger than 30","Unadjusted"
185,3517585848,"Younger than 30","Unadjusted"
186,3485812032,"Younger than 30","Unadjusted"
187,3715729968,"Younger than 30","Unadjusted"
188,3432235776,"Younger than 30","Unadjusted"
189,3494796480,"Younger than 30","Unadjusted"
190,3692575416,"Younger than 30","Unadjusted"
191,3419576472,"Younger than 30","Unadjusted"
192,3066659712,"Younger than 30","Unadjusted"
