"month","volume","group","seasonal"
60,651790992,"Low","Unadjusted"
61,654935832,"Low","Unadjusted"
62,835290048,"Low","Unadjusted"
63,772147896,"Low","Unadjusted"
64,835450168,"Low","Unadjusted"
65,791456808,"Low","Unadjusted"
66,765387336,"Low","Unadjusted"
67,921999144,"Low","Unadjusted"
68,945560592,"Low","Unadjusted"
69,860894016,"Low","Unadjusted"
70,884913120,"Low","Unadjusted"
71,714254568,"Low","Unadjusted"
72,715283592,"Low","Unadjusted"
73,867134256,"Low","Unadjusted"
74,810022512,"Low","Unadjusted"
75,768808704,"Low","Unadjusted"
76,822967920,"Low","Unadjusted"
77,873668832,"Low","Unadjusted"
78,920006304,"Low","Unadjusted"
79,944415584,"Low","Unadjusted"
80,954769656,"Low","Unadjusted"
81,876238200,"Low","Unadjusted"
82,898496328,"Low","Unadjusted"
83,829590144,"Low","Unadjusted"
84,810581328,"Low","Unadjusted"
85,843867624,"Low","Unadjusted"
86,905238432,"Low","Unadjusted"
87,921423360,"Low","Unadjusted"
88,909873328,"Low","Unadjusted"
89,918417496,"Low","Unadjusted"
90,962945400,"Low","Unadjusted"
91,936244440,"Low","Unadjusted"
92,852438624,"Low","Unadjusted"
93,914372064,"Low","Unadjusted"
94,863413056,"Low","Unadjusted"
95,818242032,"Low","Unadjusted"
96,771205152,"Low","Unadjusted"
97,670677840,"Low","Unadjusted"
98,753061872,"Low","Unadjusted"
99,763914696,"Low","Unadjusted"
100,771030456,"Low","Unadjusted"
101,772785672,"Low","Unadjusted"
102,778028880,"Low","Unadjusted"
103,623591160,"Low","Unadjusted"
104,596498808,"Low","Unadjusted"
105,580342824,"Low","Unadjusted"
106,498908640,"Low","Unadjusted"
107,430002744,"Low","Unadjusted"
108,343410672,"Low","Unadjusted"
109,338420136,"Low","Unadjusted"
110,339303552,"Low","Unadjusted"
111,373593792,"Low","Unadjusted"
112,334429728,"Low","Unadjusted"
113,321373872,"Low","Unadjusted"
114,342146688,"Low","Unadjusted"
115,301285704,"Low","Unadjusted"
116,284223816,"Low","Unadjusted"
117,315361104,"Low","Unadjusted"
118,312814224,"Low","Unadjusted"
119,303101976,"Low","Unadjusted"
120,267343800,"Low","Unadjusted"
121,256074120,"Low","Unadjusted"
122,279352896,"Low","Unadjusted"
123,312115368,"Low","Unadjusted"
124,303020136,"Low","Unadjusted"
125,311423136,"Low","Unadjusted"
126,349666968,"Low","Unadjusted"
127,424555584,"Low","Unadjusted"
128,377115936,"Low","Unadjusted"
129,412678728,"Low","Unadjusted"
130,459059712,"Low","Unadjusted"
131,454471896,"Low","Unadjusted"
132,336943008,"Low","Unadjusted"
133,345140400,"Low","Unadjusted"
134,479834928,"Low","Unadjusted"
135,417847224,"Low","Unadjusted"
136,466382640,"Low","Unadjusted"
137,432228264,"Low","Unadjusted"
138,450662592,"Low","Unadjusted"
139,501589608,"Low","Unadjusted"
140,475429248,"Low","Unadjusted"
141,491519376,"Low","Unadjusted"
142,525982056,"Low","Unadjusted"
143,503689008,"Low","Unadjusted"
144,425189232,"Low","Unadjusted"
145,459048240,"Low","Unadjusted"
146,465761016,"Low","Unadjusted"
147,479324016,"Low","Unadjusted"
148,593152536,"Low","Unadjusted"
149,486917136,"Low","Unadjusted"
150,501267312,"Low","Unadjusted"
151,500824152,"Low","Unadjusted"
152,504891528,"Low","Unadjusted"
153,553387488,"Low","Unadjusted"
154,549930720,"Low","Unadjusted"
155,510866400,"Low","Unadjusted"
156,512069328,"Low","Unadjusted"
157,499091760,"Low","Unadjusted"
158,536267016,"Low","Unadjusted"
159,550439376,"Low","Unadjusted"
160,560732960,"Low","Unadjusted"
161,563952144,"Low","Unadjusted"
162,663943056,"Low","Unadjusted"
163,612789072,"Low","Unadjusted"
164,630222384,"Low","Unadjusted"
165,657487128,"Low","Unadjusted"
166,651103440,"Low","Unadjusted"
167,718364640,"Low","Unadjusted"
168,643570560,"Low","Unadjusted"
