"month","volume","group","seasonal"
60,439764264,"Low","Unadjusted"
61,426047736,"Low","Unadjusted"
62,453393360,"Low","Unadjusted"
63,473076096,"Low","Unadjusted"
64,615617568,"Low","Unadjusted"
65,539663928,"Low","Unadjusted"
66,380853792,"Low","Unadjusted"
67,523551960,"Low","Unadjusted"
68,487734480,"Low","Unadjusted"
69,486784152,"Low","Unadjusted"
70,525912912,"Low","Unadjusted"
71,452414352,"Low","Unadjusted"
72,373415064,"Low","Unadjusted"
73,419109816,"Low","Unadjusted"
74,395387136,"Low","Unadjusted"
75,461203680,"Low","Unadjusted"
76,446293824,"Low","Unadjusted"
77,434299512,"Low","Unadjusted"
78,482348136,"Low","Unadjusted"
79,457379304,"Low","Unadjusted"
80,526490016,"Low","Unadjusted"
81,421384776,"Low","Unadjusted"
82,437157168,"Low","Unadjusted"
83,329829384,"Low","Unadjusted"
84,344712648,"Low","Unadjusted"
85,278262120,"Low","Unadjusted"
86,468796368,"Low","Unadjusted"
87,359496408,"Low","Unadjusted"
88,346279008,"Low","Unadjusted"
89,473004816,"Low","Unadjusted"
90,308471208,"Low","Unadjusted"
91,409343640,"Low","Unadjusted"
92,328122144,"Low","Unadjusted"
93,320045760,"Low","Unadjusted"
94,375807768,"Low","Unadjusted"
95,232583976,"Low","Unadjusted"
96,179664432,"Low","Unadjusted"
97,127630296,"Low","Unadjusted"
98,188309616,"Low","Unadjusted"
99,174739368,"Low","Unadjusted"
100,168054072,"Low","Unadjusted"
101,139129080,"Low","Unadjusted"
102,92955840,"Low","Unadjusted"
103,99263280,"Low","Unadjusted"
104,145659888,"Low","Unadjusted"
105,68671440,"Low","Unadjusted"
106,32860800,"Low","Unadjusted"
107,95354088,"Low","Unadjusted"
108,49245192,"Low","Unadjusted"
109,34411080,"Low","Unadjusted"
110,43199784,"Low","Unadjusted"
111,51618192,"Low","Unadjusted"
112,51817200,"Low","Unadjusted"
113,171502224,"Low","Unadjusted"
114,67498704,"Low","Unadjusted"
115,27875952,"Low","Unadjusted"
116,44588688,"Low","Unadjusted"
117,77011200,"Low","Unadjusted"
118,16722384,"Low","Unadjusted"
119,24557376,"Low","Unadjusted"
120,7819200,"Low","Unadjusted"
121,40048800,"Low","Unadjusted"
122,54402960,"Low","Unadjusted"
123,35600736,"Low","Unadjusted"
124,37212000,"Low","Unadjusted"
125,35009088,"Low","Unadjusted"
126,37874400,"Low","Unadjusted"
127,56076000,"Low","Unadjusted"
128,52647168,"Low","Unadjusted"
129,42045192,"Low","Unadjusted"
130,48311808,"Low","Unadjusted"
131,64722168,"Low","Unadjusted"
132,24142200,"Low","Unadjusted"
133,47880000,"Low","Unadjusted"
134,60300000,"Low","Unadjusted"
135,61922232,"Low","Unadjusted"
136,38572848,"Low","Unadjusted"
137,51028800,"Low","Unadjusted"
138,58637592,"Low","Unadjusted"
139,46090608,"Low","Unadjusted"
140,23265216,"Low","Unadjusted"
141,27815952,"Low","Unadjusted"
142,36840000,"Low","Unadjusted"
143,46780800,"Low","Unadjusted"
144,13987032,"Low","Unadjusted"
145,42078504,"Low","Unadjusted"
146,39012000,"Low","Unadjusted"
147,157593600,"Low","Unadjusted"
148,63464568,"Low","Unadjusted"
149,68486376,"Low","Unadjusted"
150,37308000,"Low","Unadjusted"
151,56379696,"Low","Unadjusted"
152,58080960,"Low","Unadjusted"
153,27106584,"Low","Unadjusted"
154,51759840,"Low","Unadjusted"
155,59569776,"Low","Unadjusted"
156,30024768,"Low","Unadjusted"
157,39750240,"Low","Unadjusted"
158,87603456,"Low","Unadjusted"
159,46273776,"Low","Unadjusted"
160,59498760,"Low","Unadjusted"
161,64223712,"Low","Unadjusted"
162,96940440,"Low","Unadjusted"
163,30079920,"Low","Unadjusted"
164,52964016,"Low","Unadjusted"
165,109310400,"Low","Unadjusted"
166,101224080,"Low","Unadjusted"
167,60332232,"Low","Unadjusted"
168,54826128,"Low","Unadjusted"
169,49291416,"Low","Unadjusted"
170,57805464,"Low","Unadjusted"
171,42278496,"Low","Unadjusted"
172,112428840,"Low","Unadjusted"
173,74803728,"Low","Unadjusted"
174,85032480,"Low","Unadjusted"
175,77499384,"Low","Unadjusted"
176,144305856,"Low","Unadjusted"
177,100315992,"Low","Unadjusted"
178,74271888,"Low","Unadjusted"
179,176907360,"Low","Unadjusted"
180,40278336,"Low","Unadjusted"
181,55177416,"Low","Unadjusted"
182,105419208,"Low","Unadjusted"
183,96446880,"Low","Unadjusted"
184,103489536,"Low","Unadjusted"
185,139129248,"Low","Unadjusted"
186,103353600,"Low","Unadjusted"
187,142517784,"Low","Unadjusted"
188,127141656,"Low","Unadjusted"
189,130693536,"Low","Unadjusted"
190,57896784,"Low","Unadjusted"
191,155745584.284897,"Low","Unadjusted"
192,71331915.1266155,"Low","Unadjusted"
193,51415610.1392896,"Low","Unadjusted"
194,81003527.4255999,"Low","Unadjusted"
195,110452950.495315,"Low","Unadjusted"
196,91427015.2398248,"Low","Unadjusted"
197,133948866.019159,"Low","Unadjusted"
198,94714453.373818,"Low","Unadjusted"
199,111146366.627923,"Low","Unadjusted"
200,202159614.680584,"Low","Unadjusted"
201,113314009.240233,"Low","Unadjusted"
60,2707496016,"Moderate","Unadjusted"
61,2583611376,"Moderate","Unadjusted"
62,3436812240,"Moderate","Unadjusted"
63,3269926056,"Moderate","Unadjusted"
64,3929611056,"Moderate","Unadjusted"
65,3964829616,"Moderate","Unadjusted"
66,3226340136,"Moderate","Unadjusted"
67,3738556320,"Moderate","Unadjusted"
68,3120493584,"Moderate","Unadjusted"
69,3170468424,"Moderate","Unadjusted"
70,3177282912,"Moderate","Unadjusted"
71,3158471496,"Moderate","Unadjusted"
72,2549117688,"Moderate","Unadjusted"
73,2672896272,"Moderate","Unadjusted"
74,3395373312,"Moderate","Unadjusted"
75,3014596104,"Moderate","Unadjusted"
76,3274614456,"Moderate","Unadjusted"
77,3580915752,"Moderate","Unadjusted"
78,2981573880,"Moderate","Unadjusted"
79,3798968280,"Moderate","Unadjusted"
80,3343132752,"Moderate","Unadjusted"
81,3036214224,"Moderate","Unadjusted"
82,2859088248,"Moderate","Unadjusted"
83,2171558640,"Moderate","Unadjusted"
84,2205600024,"Moderate","Unadjusted"
85,2273783640,"Moderate","Unadjusted"
86,2746247376,"Moderate","Unadjusted"
87,2590884576,"Moderate","Unadjusted"
88,2925108000,"Moderate","Unadjusted"
89,2534168160,"Moderate","Unadjusted"
90,2498306976,"Moderate","Unadjusted"
91,2454092448,"Moderate","Unadjusted"
92,2115058932,"Moderate","Unadjusted"
93,1954507908,"Moderate","Unadjusted"
94,1684643184,"Moderate","Unadjusted"
95,1592965440,"Moderate","Unadjusted"
96,1150436064,"Moderate","Unadjusted"
97,1370075304,"Moderate","Unadjusted"
98,1249481136,"Moderate","Unadjusted"
99,1407713352,"Moderate","Unadjusted"
100,1115214528,"Moderate","Unadjusted"
101,1107475764,"Moderate","Unadjusted"
102,931277184,"Moderate","Unadjusted"
103,805079832,"Moderate","Unadjusted"
104,874088856,"Moderate","Unadjusted"
105,567682392,"Moderate","Unadjusted"
106,493180728,"Moderate","Unadjusted"
107,466066656,"Moderate","Unadjusted"
108,408711624,"Moderate","Unadjusted"
109,365880888,"Moderate","Unadjusted"
110,395630328,"Moderate","Unadjusted"
111,718558896,"Moderate","Unadjusted"
112,399061080,"Moderate","Unadjusted"
113,396511152,"Moderate","Unadjusted"
114,332404920,"Moderate","Unadjusted"
115,433631856,"Moderate","Unadjusted"
116,374952696,"Moderate","Unadjusted"
117,304599936,"Moderate","Unadjusted"
118,261271488,"Moderate","Unadjusted"
119,338974944,"Moderate","Unadjusted"
120,239342688,"Moderate","Unadjusted"
121,234316056,"Moderate","Unadjusted"
122,346367952,"Moderate","Unadjusted"
123,324972384,"Moderate","Unadjusted"
124,388024488,"Moderate","Unadjusted"
125,382489320,"Moderate","Unadjusted"
126,326637240,"Moderate","Unadjusted"
127,405024528,"Moderate","Unadjusted"
128,328664760,"Moderate","Unadjusted"
129,343350864,"Moderate","Unadjusted"
130,347628384,"Moderate","Unadjusted"
131,328262544,"Moderate","Unadjusted"
132,241559856,"Moderate","Unadjusted"
133,280977672,"Moderate","Unadjusted"
134,384053976,"Moderate","Unadjusted"
135,355744800,"Moderate","Unadjusted"
136,319424424,"Moderate","Unadjusted"
137,468801192,"Moderate","Unadjusted"
138,342781272,"Moderate","Unadjusted"
139,303275592,"Moderate","Unadjusted"
140,311111592,"Moderate","Unadjusted"
141,294258216,"Moderate","Unadjusted"
142,336834072,"Moderate","Unadjusted"
143,344434200,"Moderate","Unadjusted"
144,382876752,"Moderate","Unadjusted"
145,235914024,"Moderate","Unadjusted"
146,357273432,"Moderate","Unadjusted"
147,380153088,"Moderate","Unadjusted"
148,376251504,"Moderate","Unadjusted"
149,371791104,"Moderate","Unadjusted"
150,350513040,"Moderate","Unadjusted"
151,363651288,"Moderate","Unadjusted"
152,282875496,"Moderate","Unadjusted"
153,389878272,"Moderate","Unadjusted"
154,425946048,"Moderate","Unadjusted"
155,357175776,"Moderate","Unadjusted"
156,355159560,"Moderate","Unadjusted"
157,354783168,"Moderate","Unadjusted"
158,385679640,"Moderate","Unadjusted"
159,450940392,"Moderate","Unadjusted"
160,395299080,"Moderate","Unadjusted"
161,402328320,"Moderate","Unadjusted"
162,430543872,"Moderate","Unadjusted"
163,548116608,"Moderate","Unadjusted"
164,422093136,"Moderate","Unadjusted"
165,502044936,"Moderate","Unadjusted"
166,590995368,"Moderate","Unadjusted"
167,420057432,"Moderate","Unadjusted"
168,337819344,"Moderate","Unadjusted"
169,365465160,"Moderate","Unadjusted"
170,456882600,"Moderate","Unadjusted"
171,565628472,"Moderate","Unadjusted"
172,541211640,"Moderate","Unadjusted"
173,607910712,"Moderate","Unadjusted"
174,598703904,"Moderate","Unadjusted"
175,699940752,"Moderate","Unadjusted"
176,620133360,"Moderate","Unadjusted"
177,609435240,"Moderate","Unadjusted"
178,533172528,"Moderate","Unadjusted"
