"month","volume","group","seasonal"
60,25707154368,"Deep Subprime","Unadjusted"
61,28571980752,"Deep Subprime","Unadjusted"
62,36461872512,"Deep Subprime","Unadjusted"
63,30448104624,"Deep Subprime","Unadjusted"
64,30781018992,"Deep Subprime","Unadjusted"
65,35577599664,"Deep Subprime","Unadjusted"
66,31445132544,"Deep Subprime","Unadjusted"
67,34502821392,"Deep Subprime","Unadjusted"
68,32953463808,"Deep Subprime","Unadjusted"
69,31787836992,"Deep Subprime","Unadjusted"
70,29346713568,"Deep Subprime","Unadjusted"
71,31525940784,"Deep Subprime","Unadjusted"
72,26592432192,"Deep Subprime","Unadjusted"
73,23180025360,"Deep Subprime","Unadjusted"
74,31602483024,"Deep Subprime","Unadjusted"
75,26569663968,"Deep Subprime","Unadjusted"
76,33147872064,"Deep Subprime","Unadjusted"
77,30415139904,"Deep Subprime","Unadjusted"
78,29608578576,"Deep Subprime","Unadjusted"
79,34772649072,"Deep Subprime","Unadjusted"
80,30654032016,"Deep Subprime","Unadjusted"
81,32714279856,"Deep Subprime","Unadjusted"
82,29394041664,"Deep Subprime","Unadjusted"
83,28247125680,"Deep Subprime","Unadjusted"
84,25517564688,"Deep Subprime","Unadjusted"
85,21516459216,"Deep Subprime","Unadjusted"
86,17798171616,"Deep Subprime","Unadjusted"
87,14570164512,"Deep Subprime","Unadjusted"
88,15986243376,"Deep Subprime","Unadjusted"
89,16149658608,"Deep Subprime","Unadjusted"
90,15542807712,"Deep Subprime","Unadjusted"
91,12984124176,"Deep Subprime","Unadjusted"
92,8668275648,"Deep Subprime","Unadjusted"
93,11515079376,"Deep Subprime","Unadjusted"
94,10150002960,"Deep Subprime","Unadjusted"
95,9884147808,"Deep Subprime","Unadjusted"
96,8894092416,"Deep Subprime","Unadjusted"
97,8603110944,"Deep Subprime","Unadjusted"
98,9103493520,"Deep Subprime","Unadjusted"
99,8678526288,"Deep Subprime","Unadjusted"
100,7759160880,"Deep Subprime","Unadjusted"
101,6029855664,"Deep Subprime","Unadjusted"
102,6118507776,"Deep Subprime","Unadjusted"
103,5613279696,"Deep Subprime","Unadjusted"
104,6923740320,"Deep Subprime","Unadjusted"
105,6120915840,"Deep Subprime","Unadjusted"
106,3687853536,"Deep Subprime","Unadjusted"
107,4942229760,"Deep Subprime","Unadjusted"
108,4555214784,"Deep Subprime","Unadjusted"
109,4656951168,"Deep Subprime","Unadjusted"
110,5083775856,"Deep Subprime","Unadjusted"
111,4178597904,"Deep Subprime","Unadjusted"
112,3941020224,"Deep Subprime","Unadjusted"
113,4008057648,"Deep Subprime","Unadjusted"
114,3846179520,"Deep Subprime","Unadjusted"
115,2453234064,"Deep Subprime","Unadjusted"
116,2781617568,"Deep Subprime","Unadjusted"
117,3250513344,"Deep Subprime","Unadjusted"
118,2788152624,"Deep Subprime","Unadjusted"
119,2953392768,"Deep Subprime","Unadjusted"
120,1621918320,"Deep Subprime","Unadjusted"
121,1776183888,"Deep Subprime","Unadjusted"
122,2277369600,"Deep Subprime","Unadjusted"
123,2277075072,"Deep Subprime","Unadjusted"
124,1676845824,"Deep Subprime","Unadjusted"
125,2490520128,"Deep Subprime","Unadjusted"
126,1438725216,"Deep Subprime","Unadjusted"
127,1881517008,"Deep Subprime","Unadjusted"
128,2138316240,"Deep Subprime","Unadjusted"
129,1639408896,"Deep Subprime","Unadjusted"
130,1592873040,"Deep Subprime","Unadjusted"
131,1928849904,"Deep Subprime","Unadjusted"
132,1324145328,"Deep Subprime","Unadjusted"
133,1214528784,"Deep Subprime","Unadjusted"
134,1772939280,"Deep Subprime","Unadjusted"
135,1421421360,"Deep Subprime","Unadjusted"
136,1441639536,"Deep Subprime","Unadjusted"
137,2269876560,"Deep Subprime","Unadjusted"
138,1742833728,"Deep Subprime","Unadjusted"
139,1389423504,"Deep Subprime","Unadjusted"
140,1490295120,"Deep Subprime","Unadjusted"
141,1377053952,"Deep Subprime","Unadjusted"
142,1365335424,"Deep Subprime","Unadjusted"
143,1424582784,"Deep Subprime","Unadjusted"
144,1845010272,"Deep Subprime","Unadjusted"
145,1714743504,"Deep Subprime","Unadjusted"
146,1925286000,"Deep Subprime","Unadjusted"
147,1837076880,"Deep Subprime","Unadjusted"
