"month","volume","group","seasonal"
60,848564712,"Younger than 30","Unadjusted"
61,967383456,"Younger than 30","Unadjusted"
62,1568743704,"Younger than 30","Unadjusted"
63,1609092876,"Younger than 30","Unadjusted"
64,1700887896,"Younger than 30","Unadjusted"
65,2153461320,"Younger than 30","Unadjusted"
66,1975590984,"Younger than 30","Unadjusted"
67,2207219400,"Younger than 30","Unadjusted"
68,2137153080,"Younger than 30","Unadjusted"
69,2143319040,"Younger than 30","Unadjusted"
70,2374194768,"Younger than 30","Unadjusted"
71,2212536720,"Younger than 30","Unadjusted"
72,1498317864,"Younger than 30","Unadjusted"
73,1462645080,"Younger than 30","Unadjusted"
74,2132178024,"Younger than 30","Unadjusted"
75,1915901256,"Younger than 30","Unadjusted"
76,2187705768,"Younger than 30","Unadjusted"
77,2511668472,"Younger than 30","Unadjusted"
78,2188331568,"Younger than 30","Unadjusted"
79,2469536088,"Younger than 30","Unadjusted"
80,2029467816,"Younger than 30","Unadjusted"
81,2019506712,"Younger than 30","Unadjusted"
82,1914861360,"Younger than 30","Unadjusted"
83,1874481384,"Younger than 30","Unadjusted"
84,1278465312,"Younger than 30","Unadjusted"
85,1179857568,"Younger than 30","Unadjusted"
86,1333410216,"Younger than 30","Unadjusted"
87,1001041824,"Younger than 30","Unadjusted"
88,973362312,"Younger than 30","Unadjusted"
89,940929672,"Younger than 30","Unadjusted"
90,781744200,"Younger than 30","Unadjusted"
91,735532920,"Younger than 30","Unadjusted"
92,422360160,"Younger than 30","Unadjusted"
93,379944600,"Younger than 30","Unadjusted"
94,281561664,"Younger than 30","Unadjusted"
95,225504312,"Younger than 30","Unadjusted"
96,120907536,"Younger than 30","Unadjusted"
97,178319112,"Younger than 30","Unadjusted"
98,151906512,"Younger than 30","Unadjusted"
99,212675856,"Younger than 30","Unadjusted"
100,159428712,"Younger than 30","Unadjusted"
101,142486224,"Younger than 30","Unadjusted"
102,127500360,"Younger than 30","Unadjusted"
103,135708912,"Younger than 30","Unadjusted"
104,92987040,"Younger than 30","Unadjusted"
105,115037400,"Younger than 30","Unadjusted"
106,55023480,"Younger than 30","Unadjusted"
107,84921456,"Younger than 30","Unadjusted"
108,54654864,"Younger than 30","Unadjusted"
109,68649648,"Younger than 30","Unadjusted"
110,102987624,"Younger than 30","Unadjusted"
111,78682224,"Younger than 30","Unadjusted"
112,66511968,"Younger than 30","Unadjusted"
113,97840296,"Younger than 30","Unadjusted"
114,101263488,"Younger than 30","Unadjusted"
115,94508304,"Younger than 30","Unadjusted"
116,61051440,"Younger than 30","Unadjusted"
117,58561704,"Younger than 30","Unadjusted"
118,51327408,"Younger than 30","Unadjusted"
119,49837320,"Younger than 30","Unadjusted"
120,29496360,"Younger than 30","Unadjusted"
121,22144776,"Younger than 30","Unadjusted"
122,38528784,"Younger than 30","Unadjusted"
123,56924640,"Younger than 30","Unadjusted"
124,53479704,"Younger than 30","Unadjusted"
125,36132192,"Younger than 30","Unadjusted"
126,40303920,"Younger than 30","Unadjusted"
127,36356208,"Younger than 30","Unadjusted"
128,42612984,"Younger than 30","Unadjusted"
129,42881400,"Younger than 30","Unadjusted"
130,50263248,"Younger than 30","Unadjusted"
131,48680688,"Younger than 30","Unadjusted"
132,47020152,"Younger than 30","Unadjusted"
133,12813840,"Younger than 30","Unadjusted"
134,44269320,"Younger than 30","Unadjusted"
135,38623128,"Younger than 30","Unadjusted"
136,44023200,"Younger than 30","Unadjusted"
137,51302064,"Younger than 30","Unadjusted"
138,48137112,"Younger than 30","Unadjusted"
139,46456272,"Younger than 30","Unadjusted"
140,43781208,"Younger than 30","Unadjusted"
141,32006664,"Younger than 30","Unadjusted"
142,72351912,"Younger than 30","Unadjusted"
143,37882920,"Younger than 30","Unadjusted"
144,32902896,"Younger than 30","Unadjusted"
145,41809872,"Younger than 30","Unadjusted"
146,49204392,"Younger than 30","Unadjusted"
147,42630360,"Younger than 30","Unadjusted"
148,48565056,"Younger than 30","Unadjusted"
149,45091752,"Younger than 30","Unadjusted"
150,41245392,"Younger than 30","Unadjusted"
151,44182128,"Younger than 30","Unadjusted"
152,36062808,"Younger than 30","Unadjusted"
153,73862232,"Younger than 30","Unadjusted"
154,36341352,"Younger than 30","Unadjusted"
155,33388080,"Younger than 30","Unadjusted"
156,15021432,"Younger than 30","Unadjusted"
157,35598480,"Younger than 30","Unadjusted"
158,79593336,"Younger than 30","Unadjusted"
159,52086168,"Younger than 30","Unadjusted"
160,53067024,"Younger than 30","Unadjusted"
161,88718712,"Younger than 30","Unadjusted"
162,166939296,"Younger than 30","Unadjusted"
163,40355328,"Younger than 30","Unadjusted"
164,41888376,"Younger than 30","Unadjusted"
165,43224312,"Younger than 30","Unadjusted"
166,32321640,"Younger than 30","Unadjusted"
167,43652808,"Younger than 30","Unadjusted"
