"month","volume","group","seasonal"
60,1208630160,"Younger than 30","Unadjusted"
61,1274188836,"Younger than 30","Unadjusted"
62,1675881840,"Younger than 30","Unadjusted"
63,1796569488,"Younger than 30","Unadjusted"
64,1897835760,"Younger than 30","Unadjusted"
65,1802804256,"Younger than 30","Unadjusted"
66,1958924352,"Younger than 30","Unadjusted"
67,1842441936,"Younger than 30","Unadjusted"
68,1685559024,"Younger than 30","Unadjusted"
69,1638240504,"Younger than 30","Unadjusted"
70,1641396864,"Younger than 30","Unadjusted"
71,1736191056,"Younger than 30","Unadjusted"
72,1013680896,"Younger than 30","Unadjusted"
73,1057230984,"Younger than 30","Unadjusted"
74,1358047848,"Younger than 30","Unadjusted"
75,1263087288,"Younger than 30","Unadjusted"
76,1430849976,"Younger than 30","Unadjusted"
77,1493080080,"Younger than 30","Unadjusted"
78,1228354776,"Younger than 30","Unadjusted"
79,1399744296,"Younger than 30","Unadjusted"
80,1379752248,"Younger than 30","Unadjusted"
81,1005200520,"Younger than 30","Unadjusted"
82,1032873792,"Younger than 30","Unadjusted"
83,941764992,"Younger than 30","Unadjusted"
84,728450856,"Younger than 30","Unadjusted"
85,652252848,"Younger than 30","Unadjusted"
86,903587952,"Younger than 30","Unadjusted"
87,768441024,"Younger than 30","Unadjusted"
88,852220080,"Younger than 30","Unadjusted"
89,878295984,"Younger than 30","Unadjusted"
90,728483424,"Younger than 30","Unadjusted"
91,751851144,"Younger than 30","Unadjusted"
92,523988376,"Younger than 30","Unadjusted"
93,527058624,"Younger than 30","Unadjusted"
94,427153680,"Younger than 30","Unadjusted"
95,424815744,"Younger than 30","Unadjusted"
96,215976552,"Younger than 30","Unadjusted"
97,276988104,"Younger than 30","Unadjusted"
98,283705992,"Younger than 30","Unadjusted"
99,277806800,"Younger than 30","Unadjusted"
100,266011224,"Younger than 30","Unadjusted"
101,290084880,"Younger than 30","Unadjusted"
102,219687000,"Younger than 30","Unadjusted"
103,182230728,"Younger than 30","Unadjusted"
104,119978736,"Younger than 30","Unadjusted"
105,156146544,"Younger than 30","Unadjusted"
106,98177568,"Younger than 30","Unadjusted"
107,102961224,"Younger than 30","Unadjusted"
108,63316200,"Younger than 30","Unadjusted"
109,74694240,"Younger than 30","Unadjusted"
110,49890024,"Younger than 30","Unadjusted"
111,113651448,"Younger than 30","Unadjusted"
112,241264320,"Younger than 30","Unadjusted"
113,310354584,"Younger than 30","Unadjusted"
114,495925920,"Younger than 30","Unadjusted"
115,90032112,"Younger than 30","Unadjusted"
116,73202640,"Younger than 30","Unadjusted"
117,49359696,"Younger than 30","Unadjusted"
118,38408400,"Younger than 30","Unadjusted"
119,63715848,"Younger than 30","Unadjusted"
120,47005680,"Younger than 30","Unadjusted"
121,48239520,"Younger than 30","Unadjusted"
122,76505280,"Younger than 30","Unadjusted"
123,48814056,"Younger than 30","Unadjusted"
124,51686280,"Younger than 30","Unadjusted"
125,70567344,"Younger than 30","Unadjusted"
126,49503000,"Younger than 30","Unadjusted"
127,65611680,"Younger than 30","Unadjusted"
128,65510616,"Younger than 30","Unadjusted"
129,83181480,"Younger than 30","Unadjusted"
130,46735536,"Younger than 30","Unadjusted"
131,78184368,"Younger than 30","Unadjusted"
132,35695824,"Younger than 30","Unadjusted"
133,60091368,"Younger than 30","Unadjusted"
134,55984128,"Younger than 30","Unadjusted"
135,76897536,"Younger than 30","Unadjusted"
136,50913936,"Younger than 30","Unadjusted"
137,54979608,"Younger than 30","Unadjusted"
138,44137776,"Younger than 30","Unadjusted"
139,46071768,"Younger than 30","Unadjusted"
140,60346200,"Younger than 30","Unadjusted"
141,46429416,"Younger than 30","Unadjusted"
142,37178712,"Younger than 30","Unadjusted"
143,43190136,"Younger than 30","Unadjusted"
144,23928000,"Younger than 30","Unadjusted"
145,23913312,"Younger than 30","Unadjusted"
146,52138008,"Younger than 30","Unadjusted"
147,48610392,"Younger than 30","Unadjusted"
148,54689496,"Younger than 30","Unadjusted"
149,66240144,"Younger than 30","Unadjusted"
150,64221888,"Younger than 30","Unadjusted"
151,203722416,"Younger than 30","Unadjusted"
152,81479664,"Younger than 30","Unadjusted"
153,47188392,"Younger than 30","Unadjusted"
154,47688000,"Younger than 30","Unadjusted"
155,49871160,"Younger than 30","Unadjusted"
156,41187864,"Younger than 30","Unadjusted"
157,36229200,"Younger than 30","Unadjusted"
158,63121200,"Younger than 30","Unadjusted"
159,77106072,"Younger than 30","Unadjusted"
160,81734928,"Younger than 30","Unadjusted"
161,55491912,"Younger than 30","Unadjusted"
162,99271200,"Younger than 30","Unadjusted"
163,67791336,"Younger than 30","Unadjusted"
164,124075512,"Younger than 30","Unadjusted"
165,92172048,"Younger than 30","Unadjusted"
166,73121736,"Younger than 30","Unadjusted"
167,93066408,"Younger than 30","Unadjusted"
168,50724312,"Younger than 30","Unadjusted"
169,68214024,"Younger than 30","Unadjusted"
170,105980136,"Younger than 30","Unadjusted"
171,87390960,"Younger than 30","Unadjusted"
172,123552648,"Younger than 30","Unadjusted"
173,87412464,"Younger than 30","Unadjusted"
174,92247168,"Younger than 30","Unadjusted"
175,104250576,"Younger than 30","Unadjusted"
176,131171952,"Younger than 30","Unadjusted"
177,143439840,"Younger than 30","Unadjusted"
178,94624968,"Younger than 30","Unadjusted"
179,126083400,"Younger than 30","Unadjusted"
180,98449944,"Younger than 30","Unadjusted"
181,67122096,"Younger than 30","Unadjusted"
182,75461592,"Younger than 30","Unadjusted"
183,60996744,"Younger than 30","Unadjusted"
184,172407480,"Younger than 30","Unadjusted"
185,119062992,"Younger than 30","Unadjusted"
186,152235984,"Younger than 30","Unadjusted"
187,84016128,"Younger than 30","Unadjusted"
188,111746328,"Younger than 30","Unadjusted"
189,145482288,"Younger than 30","Unadjusted"
190,146717184,"Younger than 30","Unadjusted"
191,107868311.831686,"Younger than 30","Unadjusted"
192,50642400.2037217,"Younger than 30","Unadjusted"
193,102314534.300755,"Younger than 30","Unadjusted"
194,95603008.1273406,"Younger than 30","Unadjusted"
195,121646248.735061,"Younger than 30","Unadjusted"
196,111413533.464092,"Younger than 30","Unadjusted"
197,151943017.288409,"Younger than 30","Unadjusted"
198,112826386.457696,"Younger than 30","Unadjusted"
199,125438924.948752,"Younger than 30","Unadjusted"
200,201181888.736593,"Younger than 30","Unadjusted"
201,124840501.808463,"Younger than 30","Unadjusted"
60,10556158896,"30 - 44","Unadjusted"
61,11228947644,"30 - 44","Unadjusted"
62,13950401472,"30 - 44","Unadjusted"
63,14894460104,"30 - 44","Unadjusted"
64,15414590772,"30 - 44","Unadjusted"
65,16512343656,"30 - 44","Unadjusted"
66,13358927532,"30 - 44","Unadjusted"
67,15488557824,"30 - 44","Unadjusted"
68,13446896976,"30 - 44","Unadjusted"
69,13225935024,"30 - 44","Unadjusted"
70,13161599964,"30 - 44","Unadjusted"
71,12532501008,"30 - 44","Unadjusted"
72,9534978528,"30 - 44","Unadjusted"
73,10261501440,"30 - 44","Unadjusted"
74,13592163396,"30 - 44","Unadjusted"
75,11461314936,"30 - 44","Unadjusted"
76,12998386404,"30 - 44","Unadjusted"
77,12921599172,"30 - 44","Unadjusted"
78,11334271524,"30 - 44","Unadjusted"
79,12215894760,"30 - 44","Unadjusted"
80,10677618024,"30 - 44","Unadjusted"
81,10281976248,"30 - 44","Unadjusted"
82,9406764480,"30 - 44","Unadjusted"
83,8662143468,"30 - 44","Unadjusted"
84,7682658216,"30 - 44","Unadjusted"
85,7903018056,"30 - 44","Unadjusted"
86,9535269168,"30 - 44","Unadjusted"
87,8370364368,"30 - 44","Unadjusted"
88,8938071912,"30 - 44","Unadjusted"
89,8817807168,"30 - 44","Unadjusted"
90,8033149632,"30 - 44","Unadjusted"
91,8731208604,"30 - 44","Unadjusted"
92,6294781836,"30 - 44","Unadjusted"
93,7034022324,"30 - 44","Unadjusted"
94,5891607288,"30 - 44","Unadjusted"
95,5032632744,"30 - 44","Unadjusted"
96,4202708352,"30 - 44","Unadjusted"
97,4567389312,"30 - 44","Unadjusted"
98,4923807480,"30 - 44","Unadjusted"
99,5178799596,"30 - 44","Unadjusted"
100,4596110268,"30 - 44","Unadjusted"
101,3742572624,"30 - 44","Unadjusted"
102,3440584152,"30 - 44","Unadjusted"
103,2684299920,"30 - 44","Unadjusted"
104,2811415656,"30 - 44","Unadjusted"
105,2689317336,"30 - 44","Unadjusted"
106,2043636504,"30 - 44","Unadjusted"
107,2020200192,"30 - 44","Unadjusted"
108,1476417480,"30 - 44","Unadjusted"
109,1586732880,"30 - 44","Unadjusted"
110,1763559408,"30 - 44","Unadjusted"
111,1641610032,"30 - 44","Unadjusted"
112,1807602360,"30 - 44","Unadjusted"
113,1604261376,"30 - 44","Unadjusted"
114,1499021568,"30 - 44","Unadjusted"
115,1306101384,"30 - 44","Unadjusted"
116,1113816144,"30 - 44","Unadjusted"
117,1033724328,"30 - 44","Unadjusted"
118,952635096,"30 - 44","Unadjusted"
119,1169109936,"30 - 44","Unadjusted"
120,840599880,"30 - 44","Unadjusted"
121,784172424,"30 - 44","Unadjusted"
122,1118433408,"30 - 44","Unadjusted"
123,1150780200,"30 - 44","Unadjusted"
124,1045482024,"30 - 44","Unadjusted"
125,1088547936,"30 - 44","Unadjusted"
126,1298851056,"30 - 44","Unadjusted"
127,1081184856,"30 - 44","Unadjusted"
128,1200543816,"30 - 44","Unadjusted"
129,1152958752,"30 - 44","Unadjusted"
130,1083074784,"30 - 44","Unadjusted"
131,1142751192,"30 - 44","Unadjusted"
132,948949968,"30 - 44","Unadjusted"
133,809185416,"30 - 44","Unadjusted"
134,972404856,"30 - 44","Unadjusted"
135,979162560,"30 - 44","Unadjusted"
136,969087984,"30 - 44","Unadjusted"
137,1073783520,"30 - 44","Unadjusted"
138,1111152528,"30 - 44","Unadjusted"
139,1103602488,"30 - 44","Unadjusted"
140,1070223744,"30 - 44","Unadjusted"
141,1027471896,"30 - 44","Unadjusted"
142,1007731128,"30 - 44","Unadjusted"
143,995240592,"30 - 44","Unadjusted"
144,766827792,"30 - 44","Unadjusted"
145,844052928,"30 - 44","Unadjusted"
146,1055983176,"30 - 44","Unadjusted"
147,923583576,"30 - 44","Unadjusted"
148,927326664,"30 - 44","Unadjusted"
149,1525876848,"30 - 44","Unadjusted"
150,1013725584,"30 - 44","Unadjusted"
151,1094245584,"30 - 44","Unadjusted"
152,882204432,"30 - 44","Unadjusted"
153,1250228184,"30 - 44","Unadjusted"
154,1083443232,"30 - 44","Unadjusted"
155,1208528232,"30 - 44","Unadjusted"
156,992073888,"30 - 44","Unadjusted"
157,907375920,"30 - 44","Unadjusted"
158,1137038088,"30 - 44","Unadjusted"
159,1243982328,"30 - 44","Unadjusted"
160,1478038152,"30 - 44","Unadjusted"
161,1444725240,"30 - 44","Unadjusted"
162,1436733888,"30 - 44","Unadjusted"
163,1640630640,"30 - 44","Unadjusted"
164,1278594864,"30 - 44","Unadjusted"
165,1685776776,"30 - 44","Unadjusted"
166,1355736864,"30 - 44","Unadjusted"
167,1437516264,"30 - 44","Unadjusted"
168,1128109584,"30 - 44","Unadjusted"
169,1029213384,"30 - 44","Unadjusted"
170,1286074992,"30 - 44","Unadjusted"
171,1542762744,"30 - 44","Unadjusted"
172,1729106016,"30 - 44","Unadjusted"
173,1790669448,"30 - 44","Unadjusted"
174,1691583672,"30 - 44","Unadjusted"
175,1828005288,"30 - 44","Unadjusted"
176,1760475048,"30 - 44","Unadjusted"
177,2002912248,"30 - 44","Unadjusted"
178,1756830936,"30 - 44","Unadjusted"
179,1709711400,"30 - 44","Unadjusted"
180,1435414368,"30 - 44","Unadjusted"
181,1351781328,"30 - 44","Unadjusted"
182,1775129688,"30 - 44","Unadjusted"
183,2121049080,"30 - 44","Unadjusted"
184,2027673024,"30 - 44","Unadjusted"
185,2538226032,"30 - 44","Unadjusted"
186,2325015048,"30 - 44","Unadjusted"
187,2021245200,"30 - 44","Unadjusted"
188,2291350080,"30 - 44","Unadjusted"
189,2279449392,"30 - 44","Unadjusted"
190,2030921760,"30 - 44","Unadjusted"
