"month","num","group"
60,32380299600,"Unadjusted"
61,32214442548,"Unadjusted"
62,38639133120,"Unadjusted"
63,36958642080,"Unadjusted"
64,37187500744,"Unadjusted"
65,38045363008,"Unadjusted"
66,37296224264,"Unadjusted"
67,45020342472,"Unadjusted"
68,45755010732,"Unadjusted"
69,38522680960,"Unadjusted"
70,39731857836,"Unadjusted"
71,34163555160,"Unadjusted"
72,32633397704,"Unadjusted"
73,38256023872,"Unadjusted"
74,36806339056,"Unadjusted"
75,35169471400,"Unadjusted"
76,37105355900,"Unadjusted"
77,37387798188,"Unadjusted"
78,38322866032,"Unadjusted"
79,43088556436,"Unadjusted"
80,44737398876,"Unadjusted"
81,40515217808,"Unadjusted"
82,40331844008,"Unadjusted"
83,39407898568,"Unadjusted"
84,36116788376,"Unadjusted"
85,38185498040,"Unadjusted"
86,40866084376,"Unadjusted"
87,40340186852,"Unadjusted"
88,38581890664,"Unadjusted"
89,38476252096,"Unadjusted"
90,39591773280,"Unadjusted"
91,40386505812,"Unadjusted"
92,37286616096,"Unadjusted"
93,41116841928,"Unadjusted"
94,39540618108,"Unadjusted"
95,38259136380,"Unadjusted"
96,33958197456,"Unadjusted"
97,31899517704,"Unadjusted"
98,35246945616,"Unadjusted"
99,34991128440,"Unadjusted"
100,34673200344,"Unadjusted"
101,36310767768,"Unadjusted"
102,45035486592,"Unadjusted"
103,33553179456,"Unadjusted"
104,30463148160,"Unadjusted"
105,28918284264,"Unadjusted"
106,26074888440,"Unadjusted"
107,22161313440,"Unadjusted"
108,18309209256,"Unadjusted"
109,16935660712,"Unadjusted"
110,18975841752,"Unadjusted"
111,18554984388,"Unadjusted"
112,17691550416,"Unadjusted"
113,17439100296,"Unadjusted"
114,16878320604,"Unadjusted"
115,16700734980,"Unadjusted"
116,15164504352,"Unadjusted"
117,16565947284,"Unadjusted"
118,17153561280,"Unadjusted"
119,16114923120,"Unadjusted"
120,14980320984,"Unadjusted"
121,13771159116,"Unadjusted"
122,16538034840,"Unadjusted"
123,16722264192,"Unadjusted"
124,16765283952,"Unadjusted"
125,17252418312,"Unadjusted"
126,17942236944,"Unadjusted"
127,18526709904,"Unadjusted"
128,17513338296,"Unadjusted"
129,19157066520,"Unadjusted"
130,21217767648,"Unadjusted"
131,20821437528,"Unadjusted"
132,17618106480,"Unadjusted"
133,17707172424,"Unadjusted"
134,21352177800,"Unadjusted"
135,18969725064,"Unadjusted"
136,20738218944,"Unadjusted"
137,20693362464,"Unadjusted"
138,20518656048,"Unadjusted"
139,23069284080,"Unadjusted"
140,22690067424,"Unadjusted"
141,22877464152,"Unadjusted"
142,24116930400,"Unadjusted"
143,23063222952,"Unadjusted"
144,20517883080,"Unadjusted"
145,20436522768,"Unadjusted"
146,22362979656,"Unadjusted"
147,22106090544,"Unadjusted"
148,23100988584,"Unadjusted"
149,21009011184,"Unadjusted"
150,21417414264,"Unadjusted"
151,22275548616,"Unadjusted"
152,21177999312,"Unadjusted"
153,23345703744,"Unadjusted"
154,24275577144,"Unadjusted"
155,23111935104,"Unadjusted"
156,21783914088,"Unadjusted"
