"month","volume","group","seasonal"
60,229086984,"Low","Unadjusted"
61,297213816,"Low","Unadjusted"
62,367404384,"Low","Unadjusted"
63,370974000,"Low","Unadjusted"
64,501967560,"Low","Unadjusted"
65,527622936,"Low","Unadjusted"
66,472637736,"Low","Unadjusted"
67,456433416,"Low","Unadjusted"
68,540695784,"Low","Unadjusted"
69,478318776,"Low","Unadjusted"
70,536733360,"Low","Unadjusted"
71,492341880,"Low","Unadjusted"
72,420469344,"Low","Unadjusted"
73,438158688,"Low","Unadjusted"
74,569081040,"Low","Unadjusted"
75,540872976,"Low","Unadjusted"
76,471596448,"Low","Unadjusted"
77,537535584,"Low","Unadjusted"
78,573526248,"Low","Unadjusted"
79,611329272,"Low","Unadjusted"
80,535370352,"Low","Unadjusted"
81,556948560,"Low","Unadjusted"
82,412598256,"Low","Unadjusted"
83,542446656,"Low","Unadjusted"
84,345420600,"Low","Unadjusted"
85,271486944,"Low","Unadjusted"
86,346297008,"Low","Unadjusted"
87,261188232,"Low","Unadjusted"
88,250224936,"Low","Unadjusted"
89,169191192,"Low","Unadjusted"
90,168146376,"Low","Unadjusted"
91,134176368,"Low","Unadjusted"
92,109437720,"Low","Unadjusted"
93,123310992,"Low","Unadjusted"
94,103665528,"Low","Unadjusted"
95,90467352,"Low","Unadjusted"
96,50862720,"Low","Unadjusted"
97,45184128,"Low","Unadjusted"
98,55371336,"Low","Unadjusted"
99,41094240,"Low","Unadjusted"
100,55560768,"Low","Unadjusted"
101,37424904,"Low","Unadjusted"
102,39606216,"Low","Unadjusted"
103,41519712,"Low","Unadjusted"
104,34026720,"Low","Unadjusted"
105,40502184,"Low","Unadjusted"
106,24829776,"Low","Unadjusted"
107,17394504,"Low","Unadjusted"
108,11170848,"Low","Unadjusted"
109,30958320,"Low","Unadjusted"
110,18558984,"Low","Unadjusted"
111,19528032,"Low","Unadjusted"
112,23502696,"Low","Unadjusted"
113,68446344,"Low","Unadjusted"
114,12039408,"Low","Unadjusted"
115,13639416,"Low","Unadjusted"
116,8994264,"Low","Unadjusted"
117,17399256,"Low","Unadjusted"
118,17125080,"Low","Unadjusted"
119,12954120,"Low","Unadjusted"
120,8842872,"Low","Unadjusted"
121,7634112,"Low","Unadjusted"
122,16815384,"Low","Unadjusted"
123,10311456,"Low","Unadjusted"
124,12808416,"Low","Unadjusted"
125,21015480,"Low","Unadjusted"
126,13343448,"Low","Unadjusted"
127,15609912,"Low","Unadjusted"
128,14709120,"Low","Unadjusted"
129,25021008,"Low","Unadjusted"
130,34971672,"Low","Unadjusted"
131,22214904,"Low","Unadjusted"
132,6902784,"Low","Unadjusted"
133,11377728,"Low","Unadjusted"
134,22220112,"Low","Unadjusted"
135,9559008,"Low","Unadjusted"
136,13493592,"Low","Unadjusted"
137,30505200,"Low","Unadjusted"
138,43654536,"Low","Unadjusted"
139,22414752,"Low","Unadjusted"
140,23866944,"Low","Unadjusted"
141,15673776,"Low","Unadjusted"
142,15346560,"Low","Unadjusted"
143,40469928,"Low","Unadjusted"
144,7572552,"Low","Unadjusted"
145,13605024,"Low","Unadjusted"
146,12677760,"Low","Unadjusted"
147,48073320,"Low","Unadjusted"
148,35016024,"Low","Unadjusted"
149,14197104,"Low","Unadjusted"
150,20827128,"Low","Unadjusted"
151,23918520,"Low","Unadjusted"
152,19415424,"Low","Unadjusted"
153,29710344,"Low","Unadjusted"
154,31896192,"Low","Unadjusted"
155,22970400,"Low","Unadjusted"
156,9666192,"Low","Unadjusted"
157,27059880,"Low","Unadjusted"
158,29311992,"Low","Unadjusted"
159,25038792,"Low","Unadjusted"
160,19306680,"Low","Unadjusted"
161,58647936,"Low","Unadjusted"
162,31312464,"Low","Unadjusted"
163,25462128,"Low","Unadjusted"
164,18124440,"Low","Unadjusted"
165,49774944,"Low","Unadjusted"
166,20075544,"Low","Unadjusted"
167,65110704,"Low","Unadjusted"
168,24790488,"Low","Unadjusted"
169,19082880,"Low","Unadjusted"
170,18887856,"Low","Unadjusted"
171,22993800,"Low","Unadjusted"
172,20863680,"Low","Unadjusted"
173,97506624,"Low","Unadjusted"
174,28145400,"Low","Unadjusted"
175,28177680,"Low","Unadjusted"
176,19943592,"Low","Unadjusted"
177,11371320,"Low","Unadjusted"
178,13016760,"Low","Unadjusted"
179,10264368,"Low","Unadjusted"
180,13516176,"Low","Unadjusted"
181,7594056,"Low","Unadjusted"
182,14835168,"Low","Unadjusted"
183,16620600,"Low","Unadjusted"
184,29632608,"Low","Unadjusted"
185,37416192,"Low","Unadjusted"
