"month","volume","group","seasonal"
60,661998504,"Younger than 30","Unadjusted"
61,1246341504,"Younger than 30","Unadjusted"
62,806942160,"Younger than 30","Unadjusted"
63,883113336,"Younger than 30","Unadjusted"
64,1002914448,"Younger than 30","Unadjusted"
65,1609648800,"Younger than 30","Unadjusted"
66,912120216,"Younger than 30","Unadjusted"
67,914410696,"Younger than 30","Unadjusted"
68,888787032,"Younger than 30","Unadjusted"
69,740332144,"Younger than 30","Unadjusted"
70,814178832,"Younger than 30","Unadjusted"
71,786667560,"Younger than 30","Unadjusted"
72,743077824,"Younger than 30","Unadjusted"
73,708247248,"Younger than 30","Unadjusted"
74,873871200,"Younger than 30","Unadjusted"
75,856829472,"Younger than 30","Unadjusted"
76,1010257368,"Younger than 30","Unadjusted"
77,980011768,"Younger than 30","Unadjusted"
78,934827708,"Younger than 30","Unadjusted"
79,961967496,"Younger than 30","Unadjusted"
80,801917712,"Younger than 30","Unadjusted"
81,846707176,"Younger than 30","Unadjusted"
82,992886768,"Younger than 30","Unadjusted"
83,858327528,"Younger than 30","Unadjusted"
84,942566292,"Younger than 30","Unadjusted"
85,644318484,"Younger than 30","Unadjusted"
86,902617128,"Younger than 30","Unadjusted"
87,835315656,"Younger than 30","Unadjusted"
88,1002259668,"Younger than 30","Unadjusted"
89,926159400,"Younger than 30","Unadjusted"
90,963759012,"Younger than 30","Unadjusted"
91,956963280,"Younger than 30","Unadjusted"
92,719972208,"Younger than 30","Unadjusted"
93,841863584,"Younger than 30","Unadjusted"
94,917717904,"Younger than 30","Unadjusted"
95,736835400,"Younger than 30","Unadjusted"
96,672468408,"Younger than 30","Unadjusted"
97,677050248,"Younger than 30","Unadjusted"
98,702627456,"Younger than 30","Unadjusted"
99,801891640,"Younger than 30","Unadjusted"
100,854241504,"Younger than 30","Unadjusted"
101,774813744,"Younger than 30","Unadjusted"
102,766338216,"Younger than 30","Unadjusted"
103,779991264,"Younger than 30","Unadjusted"
104,675628728,"Younger than 30","Unadjusted"
105,624782952,"Younger than 30","Unadjusted"
106,573871932,"Younger than 30","Unadjusted"
107,531900888,"Younger than 30","Unadjusted"
108,470621400,"Younger than 30","Unadjusted"
109,438262824,"Younger than 30","Unadjusted"
110,458917080,"Younger than 30","Unadjusted"
111,472481640,"Younger than 30","Unadjusted"
112,508996632,"Younger than 30","Unadjusted"
113,515731176,"Younger than 30","Unadjusted"
114,492417160,"Younger than 30","Unadjusted"
115,476772072,"Younger than 30","Unadjusted"
116,416094912,"Younger than 30","Unadjusted"
117,458234016,"Younger than 30","Unadjusted"
118,441535416,"Younger than 30","Unadjusted"
119,421421456,"Younger than 30","Unadjusted"
120,325550512,"Younger than 30","Unadjusted"
121,278002008,"Younger than 30","Unadjusted"
122,444146256,"Younger than 30","Unadjusted"
123,507052952,"Younger than 30","Unadjusted"
124,702282080,"Younger than 30","Unadjusted"
125,475972776,"Younger than 30","Unadjusted"
126,466068016,"Younger than 30","Unadjusted"
127,494206920,"Younger than 30","Unadjusted"
128,483680640,"Younger than 30","Unadjusted"
129,382860360,"Younger than 30","Unadjusted"
130,453024648,"Younger than 30","Unadjusted"
131,478126036.8,"Younger than 30","Unadjusted"
132,321991296,"Younger than 30","Unadjusted"
133,294280116,"Younger than 30","Unadjusted"
134,444062736,"Younger than 30","Unadjusted"
135,497332488,"Younger than 30","Unadjusted"
136,533210928,"Younger than 30","Unadjusted"
137,547556724,"Younger than 30","Unadjusted"
138,522890802,"Younger than 30","Unadjusted"
139,554721624,"Younger than 30","Unadjusted"
140,515013152,"Younger than 30","Unadjusted"
141,482266648,"Younger than 30","Unadjusted"
142,517038924,"Younger than 30","Unadjusted"
143,495174048,"Younger than 30","Unadjusted"
144,364206072,"Younger than 30","Unadjusted"
145,352984320,"Younger than 30","Unadjusted"
146,524626128,"Younger than 30","Unadjusted"
147,543564912,"Younger than 30","Unadjusted"
148,621261960,"Younger than 30","Unadjusted"
149,563735200,"Younger than 30","Unadjusted"
150,564361224,"Younger than 30","Unadjusted"
151,564425721.6,"Younger than 30","Unadjusted"
152,516207936,"Younger than 30","Unadjusted"
153,492985096,"Younger than 30","Unadjusted"
154,507303112,"Younger than 30","Unadjusted"
155,494177112,"Younger than 30","Unadjusted"
156,423290208,"Younger than 30","Unadjusted"
157,339171024,"Younger than 30","Unadjusted"
158,485462424,"Younger than 30","Unadjusted"
159,578874224,"Younger than 30","Unadjusted"
160,660536240,"Younger than 30","Unadjusted"
161,606724872,"Younger than 30","Unadjusted"
162,691227060,"Younger than 30","Unadjusted"
163,618119976,"Younger than 30","Unadjusted"
164,543007704,"Younger than 30","Unadjusted"
165,610324776,"Younger than 30","Unadjusted"
166,563806140,"Younger than 30","Unadjusted"
167,550959840,"Younger than 30","Unadjusted"
168,466134696,"Younger than 30","Unadjusted"
169,410961552,"Younger than 30","Unadjusted"
170,513993720,"Younger than 30","Unadjusted"
171,639527232,"Younger than 30","Unadjusted"
172,679958184,"Younger than 30","Unadjusted"
173,668796288,"Younger than 30","Unadjusted"
174,716041752,"Younger than 30","Unadjusted"
175,634465320,"Younger than 30","Unadjusted"
176,620463960,"Younger than 30","Unadjusted"
177,678911760,"Younger than 30","Unadjusted"
178,624624124,"Younger than 30","Unadjusted"
179,612419856,"Younger than 30","Unadjusted"
180,544795056,"Younger than 30","Unadjusted"
181,460981296,"Younger than 30","Unadjusted"
182,643760832,"Younger than 30","Unadjusted"
183,756108288,"Younger than 30","Unadjusted"
184,763475592,"Younger than 30","Unadjusted"
185,840749136,"Younger than 30","Unadjusted"
186,782831892,"Younger than 30","Unadjusted"
187,782202624,"Younger than 30","Unadjusted"
188,735839952,"Younger than 30","Unadjusted"
189,772676568,"Younger than 30","Unadjusted"
190,704750544,"Younger than 30","Unadjusted"
191,706195680,"Younger than 30","Unadjusted"
192,552743832,"Younger than 30","Unadjusted"
193,595971691.710075,"Younger than 30","Unadjusted"
194,719025569.399238,"Younger than 30","Unadjusted"
195,716816340.189363,"Younger than 30","Unadjusted"
196,723291801.095789,"Younger than 30","Unadjusted"
197,779990773.537744,"Younger than 30","Unadjusted"
198,702091595.279562,"Younger than 30","Unadjusted"
199,753449140.188928,"Younger than 30","Unadjusted"
200,693372794.992178,"Younger than 30","Unadjusted"
201,634891144.874573,"Younger than 30","Unadjusted"
202,657181554.338352,"Younger than 30","Unadjusted"
203,659794167.190538,"Younger than 30","Unadjusted"
60,2057276280,"30 - 44","Unadjusted"
61,5272211412,"30 - 44","Unadjusted"
62,2517620100,"30 - 44","Unadjusted"
63,2566619616,"30 - 44","Unadjusted"
64,2786409912,"30 - 44","Unadjusted"
65,3239659740,"30 - 44","Unadjusted"
66,2675882208,"30 - 44","Unadjusted"
67,2843542568,"30 - 44","Unadjusted"
68,2426376048,"30 - 44","Unadjusted"
69,2271677184,"30 - 44","Unadjusted"
70,2530036428,"30 - 44","Unadjusted"
71,2422019640,"30 - 44","Unadjusted"
72,2288791896,"30 - 44","Unadjusted"
