"month","volume","group","seasonal"
60,183995616,"Deep Subprime","Unadjusted"
61,167419488,"Deep Subprime","Unadjusted"
62,205707888,"Deep Subprime","Unadjusted"
63,172752576,"Deep Subprime","Unadjusted"
64,184188432,"Deep Subprime","Unadjusted"
65,176481888,"Deep Subprime","Unadjusted"
66,156759888,"Deep Subprime","Unadjusted"
67,180063792,"Deep Subprime","Unadjusted"
68,177591984,"Deep Subprime","Unadjusted"
69,176749968,"Deep Subprime","Unadjusted"
70,226364592,"Deep Subprime","Unadjusted"
71,233334624,"Deep Subprime","Unadjusted"
72,165091440,"Deep Subprime","Unadjusted"
73,207252864,"Deep Subprime","Unadjusted"
74,250905840,"Deep Subprime","Unadjusted"
75,218572560,"Deep Subprime","Unadjusted"
76,204938400,"Deep Subprime","Unadjusted"
77,205955712,"Deep Subprime","Unadjusted"
78,200221920,"Deep Subprime","Unadjusted"
79,233907216,"Deep Subprime","Unadjusted"
80,206549712,"Deep Subprime","Unadjusted"
81,223585200,"Deep Subprime","Unadjusted"
82,258746688,"Deep Subprime","Unadjusted"
83,286393200,"Deep Subprime","Unadjusted"
84,206270352,"Deep Subprime","Unadjusted"
85,246010608,"Deep Subprime","Unadjusted"
86,258934080,"Deep Subprime","Unadjusted"
87,240846528,"Deep Subprime","Unadjusted"
88,248976672,"Deep Subprime","Unadjusted"
89,255647760,"Deep Subprime","Unadjusted"
90,235121280,"Deep Subprime","Unadjusted"
91,273358704,"Deep Subprime","Unadjusted"
92,237030000,"Deep Subprime","Unadjusted"
93,237629472,"Deep Subprime","Unadjusted"
94,316770576,"Deep Subprime","Unadjusted"
95,321866016,"Deep Subprime","Unadjusted"
96,228241296,"Deep Subprime","Unadjusted"
97,288727584,"Deep Subprime","Unadjusted"
98,246392112,"Deep Subprime","Unadjusted"
99,241909344,"Deep Subprime","Unadjusted"
100,339536064,"Deep Subprime","Unadjusted"
101,291133968,"Deep Subprime","Unadjusted"
102,259768320,"Deep Subprime","Unadjusted"
103,263792736,"Deep Subprime","Unadjusted"
104,260219376,"Deep Subprime","Unadjusted"
105,461270400,"Deep Subprime","Unadjusted"
106,231185232,"Deep Subprime","Unadjusted"
107,247954224,"Deep Subprime","Unadjusted"
108,167086368,"Deep Subprime","Unadjusted"
109,195941808,"Deep Subprime","Unadjusted"
110,221046048,"Deep Subprime","Unadjusted"
111,190245024,"Deep Subprime","Unadjusted"
112,203379408,"Deep Subprime","Unadjusted"
113,190222944,"Deep Subprime","Unadjusted"
114,196122624,"Deep Subprime","Unadjusted"
115,174042912,"Deep Subprime","Unadjusted"
116,197953632,"Deep Subprime","Unadjusted"
117,183742944,"Deep Subprime","Unadjusted"
118,214663488,"Deep Subprime","Unadjusted"
119,221900160,"Deep Subprime","Unadjusted"
120,174408048,"Deep Subprime","Unadjusted"
121,208192608,"Deep Subprime","Unadjusted"
122,201732384,"Deep Subprime","Unadjusted"
123,188985360,"Deep Subprime","Unadjusted"
124,200688720,"Deep Subprime","Unadjusted"
125,174956256,"Deep Subprime","Unadjusted"
126,162278016,"Deep Subprime","Unadjusted"
127,164846976,"Deep Subprime","Unadjusted"
128,142621152,"Deep Subprime","Unadjusted"
129,147790752,"Deep Subprime","Unadjusted"
130,200541936,"Deep Subprime","Unadjusted"
131,209238576,"Deep Subprime","Unadjusted"
132,144634464,"Deep Subprime","Unadjusted"
133,175851456,"Deep Subprime","Unadjusted"
134,180299280,"Deep Subprime","Unadjusted"
135,174977568,"Deep Subprime","Unadjusted"
136,169538064,"Deep Subprime","Unadjusted"
137,171477408,"Deep Subprime","Unadjusted"
138,169710624,"Deep Subprime","Unadjusted"
139,179709456,"Deep Subprime","Unadjusted"
140,158025792,"Deep Subprime","Unadjusted"
141,173416896,"Deep Subprime","Unadjusted"
142,221174592,"Deep Subprime","Unadjusted"
143,241256208,"Deep Subprime","Unadjusted"
144,147111456,"Deep Subprime","Unadjusted"
145,206902896,"Deep Subprime","Unadjusted"
146,209339760,"Deep Subprime","Unadjusted"
147,187971120,"Deep Subprime","Unadjusted"
148,187680384,"Deep Subprime","Unadjusted"
149,177720096,"Deep Subprime","Unadjusted"
150,212273952,"Deep Subprime","Unadjusted"
151,182468736,"Deep Subprime","Unadjusted"
152,194091504,"Deep Subprime","Unadjusted"
153,199222512,"Deep Subprime","Unadjusted"
154,257315520,"Deep Subprime","Unadjusted"
155,285669888,"Deep Subprime","Unadjusted"
156,183266592,"Deep Subprime","Unadjusted"
157,249054288,"Deep Subprime","Unadjusted"
158,256281936,"Deep Subprime","Unadjusted"
159,237606480,"Deep Subprime","Unadjusted"
160,234965616,"Deep Subprime","Unadjusted"
161,244866480,"Deep Subprime","Unadjusted"
162,235883760,"Deep Subprime","Unadjusted"
163,249607920,"Deep Subprime","Unadjusted"
164,222415200,"Deep Subprime","Unadjusted"
165,215787456,"Deep Subprime","Unadjusted"
166,332460528,"Deep Subprime","Unadjusted"
167,331202064,"Deep Subprime","Unadjusted"
168,180080784,"Deep Subprime","Unadjusted"
169,233758560,"Deep Subprime","Unadjusted"
170,281088240,"Deep Subprime","Unadjusted"
171,238157184,"Deep Subprime","Unadjusted"
172,277433952,"Deep Subprime","Unadjusted"
173,259815120,"Deep Subprime","Unadjusted"
174,241364928,"Deep Subprime","Unadjusted"
175,277746096,"Deep Subprime","Unadjusted"
176,274058352,"Deep Subprime","Unadjusted"
177,280466016,"Deep Subprime","Unadjusted"
178,368463696,"Deep Subprime","Unadjusted"
179,420852576,"Deep Subprime","Unadjusted"
180,236255616,"Deep Subprime","Unadjusted"
181,266505936,"Deep Subprime","Unadjusted"
182,327940848,"Deep Subprime","Unadjusted"
183,255237408,"Deep Subprime","Unadjusted"
184,291258144,"Deep Subprime","Unadjusted"
185,276849216,"Deep Subprime","Unadjusted"
186,251994672,"Deep Subprime","Unadjusted"
187,260991840,"Deep Subprime","Unadjusted"
188,266676768,"Deep Subprime","Unadjusted"
189,254947584,"Deep Subprime","Unadjusted"
190,342909744,"Deep Subprime","Unadjusted"
191,392613373.715029,"Deep Subprime","Unadjusted"
192,212757322.742292,"Deep Subprime","Unadjusted"
193,254070503.771825,"Deep Subprime","Unadjusted"
194,294893486.590578,"Deep Subprime","Unadjusted"
195,225922685.834298,"Deep Subprime","Unadjusted"
196,249434704.783397,"Deep Subprime","Unadjusted"
197,244281012.775287,"Deep Subprime","Unadjusted"
198,205714169.418566,"Deep Subprime","Unadjusted"
199,268333229.331287,"Deep Subprime","Unadjusted"
200,246493286.572554,"Deep Subprime","Unadjusted"
201,247550918.580285,"Deep Subprime","Unadjusted"
60,242786304,"Subprime","Unadjusted"
61,214052448,"Subprime","Unadjusted"
62,260051424,"Subprime","Unadjusted"
63,227957520,"Subprime","Unadjusted"
64,248495520,"Subprime","Unadjusted"
65,244593936,"Subprime","Unadjusted"
66,246017040,"Subprime","Unadjusted"
67,268280496,"Subprime","Unadjusted"
68,247819392,"Subprime","Unadjusted"
69,250267824,"Subprime","Unadjusted"
70,316683072,"Subprime","Unadjusted"
71,350644896,"Subprime","Unadjusted"
72,225816912,"Subprime","Unadjusted"
73,236354736,"Subprime","Unadjusted"
74,296008512,"Subprime","Unadjusted"
75,267015216,"Subprime","Unadjusted"
76,278437056,"Subprime","Unadjusted"
77,281386416,"Subprime","Unadjusted"
78,281331600,"Subprime","Unadjusted"
79,292246416,"Subprime","Unadjusted"
80,267264816,"Subprime","Unadjusted"
81,301992240,"Subprime","Unadjusted"
82,365716320,"Subprime","Unadjusted"
83,387053472,"Subprime","Unadjusted"
84,235084608,"Subprime","Unadjusted"
85,273676848,"Subprime","Unadjusted"
86,313195872,"Subprime","Unadjusted"
87,295422480,"Subprime","Unadjusted"
88,333824064,"Subprime","Unadjusted"
