"month","num","group"
60,30525262584,"Unadjusted"
61,11909310744,"Unadjusted"
62,14811504048,"Unadjusted"
63,9755788800,"Unadjusted"
64,12400606496,"Unadjusted"
65,9123843496,"Unadjusted"
66,8242881600,"Unadjusted"
67,8189277992,"Unadjusted"
68,8311270832,"Unadjusted"
69,10958873856,"Unadjusted"
70,10425043272,"Unadjusted"
71,14541809808,"Unadjusted"
72,7515237600,"Unadjusted"
73,7149785184,"Unadjusted"
74,8434605024,"Unadjusted"
75,9305963592,"Unadjusted"
76,9358192224,"Unadjusted"
77,9321077592,"Unadjusted"
78,8853225192,"Unadjusted"
79,9059153448,"Unadjusted"
80,9889197456,"Unadjusted"
81,9529279200,"Unadjusted"
82,12452851128,"Unadjusted"
83,14046222088,"Unadjusted"
84,7077395712,"Unadjusted"
85,7334057928,"Unadjusted"
86,10051853232,"Unadjusted"
87,8783738640,"Unadjusted"
88,9851629368,"Unadjusted"
89,11845460424,"Unadjusted"
90,9349377576,"Unadjusted"
91,9333777708,"Unadjusted"
92,8988106008,"Unadjusted"
93,8906822544,"Unadjusted"
94,11052243384,"Unadjusted"
95,12118251408,"Unadjusted"
96,6240774120,"Unadjusted"
97,6642906684,"Unadjusted"
98,7710565632,"Unadjusted"
99,7342346664,"Unadjusted"
100,8593030572,"Unadjusted"
101,7945222560,"Unadjusted"
102,7758498816,"Unadjusted"
103,8361461952,"Unadjusted"
104,7238125920,"Unadjusted"
105,8318718920,"Unadjusted"
106,9897470616,"Unadjusted"
107,10891254192,"Unadjusted"
108,6057146248,"Unadjusted"
109,5996819904,"Unadjusted"
110,7285894776,"Unadjusted"
111,6529642872,"Unadjusted"
112,7907392584,"Unadjusted"
113,7042563780,"Unadjusted"
114,6770153184,"Unadjusted"
115,6818230456,"Unadjusted"
116,6813463840,"Unadjusted"
117,6847349552,"Unadjusted"
118,8641597716,"Unadjusted"
119,9239550248,"Unadjusted"
120,4755796576,"Unadjusted"
121,4397866608,"Unadjusted"
122,5115282960,"Unadjusted"
123,5234013184,"Unadjusted"
124,6104859336,"Unadjusted"
125,5279161296,"Unadjusted"
126,5667432864,"Unadjusted"
127,5659805688,"Unadjusted"
128,5618904888,"Unadjusted"
129,6096430416,"Unadjusted"
130,7585960368,"Unadjusted"
131,7256383800,"Unadjusted"
132,4754885388,"Unadjusted"
133,4873693488,"Unadjusted"
134,5434481868,"Unadjusted"
135,6062536032,"Unadjusted"
136,6739511448,"Unadjusted"
137,6147270864,"Unadjusted"
138,6925891428,"Unadjusted"
139,6623633344,"Unadjusted"
140,6703170372,"Unadjusted"
141,6799790020,"Unadjusted"
142,8664124104,"Unadjusted"
143,8713685760,"Unadjusted"
144,5525592192,"Unadjusted"
145,5936766336,"Unadjusted"
146,6724155864,"Unadjusted"
147,8150594336,"Unadjusted"
148,7368425272,"Unadjusted"
149,6627306920,"Unadjusted"
150,13140294192,"Unadjusted"
151,7262145680,"Unadjusted"
152,7246902720,"Unadjusted"
153,7329676848,"Unadjusted"
154,9976872784,"Unadjusted"
155,10804483824,"Unadjusted"
156,6788387616,"Unadjusted"
157,10380254308,"Unadjusted"
158,8328280312,"Unadjusted"
159,8127187428,"Unadjusted"
160,8888688856,"Unadjusted"
161,8047728636,"Unadjusted"
162,8657137144,"Unadjusted"
163,8579538000,"Unadjusted"
164,7902508684,"Unadjusted"
165,7880577264,"Unadjusted"
166,10545136352,"Unadjusted"
167,10739669480,"Unadjusted"
168,6337608512,"Unadjusted"
169,6435253520,"Unadjusted"
170,8035895664,"Unadjusted"
171,8060942856,"Unadjusted"
172,8945615480,"Unadjusted"
173,9248889456,"Unadjusted"
174,9706841536,"Unadjusted"
175,9913664536,"Unadjusted"
176,8801715336,"Unadjusted"
177,9047010216,"Unadjusted"
178,12095510704,"Unadjusted"
179,11246610588,"Unadjusted"
180,7451091216,"Unadjusted"
181,6946763928,"Unadjusted"
182,8869393176,"Unadjusted"
183,9224665408,"Unadjusted"
184,10785492576,"Unadjusted"
185,9334800088,"Unadjusted"
186,9523304072,"Unadjusted"
187,9336877704,"Unadjusted"
188,9398431608,"Unadjusted"
189,9140121912,"Unadjusted"
190,12453217104,"Unadjusted"
191,11540107544,"Unadjusted"
192,8046513264,"Unadjusted"
193,8377665168.33877,"Unadjusted"
194,9499251733.04262,"Unadjusted"
195,10223504754.4953,"Unadjusted"
196,11412187618.1891,"Unadjusted"
197,9888884133.21175,"Unadjusted"
198,10444505965.16,"Unadjusted"
199,9809730310.27796,"Unadjusted"
200,9858027964.87368,"Unadjusted"
201,10371951456.2517,"Unadjusted"
202,13042978500.1776,"Unadjusted"
